# COM応答を再現する開発用Mock。暫定IDはProvisionalDataIds.hへ集約する。
# 同じdata_id/sub_id1/sub_id2では、後の時刻の行がそれ以前の値を上書きする。
at_ms,data_id,sub_id1,sub_id2,value
0,1,0,0,connected
0,2,0,0,manual
0,3,0,0,0
0,4,0,0,0
0,5,0,0,normal
0,6,0,0,1
0,7,1,0,3
0,8,0,0,3
0,9,1,0,1
0,9,2,0,2
0,9,3,0,3
0,10,1,0,rack
0,11,1,0,1
0,12,1,0,1
0,13,1,0,1
0,14,1,0,waiting
0,15,1,0,1
0,16,1,1,work-1.nc
0,17,1,1,1
0,10,2,0,rack
0,11,2,0,1
0,12,2,0,2
0,13,2,0,2
0,14,2,0,waiting
0,15,2,0,1
0,16,2,1,work-2.nc
0,17,2,1,1
0,10,3,0,rack
0,11,3,0,1
0,12,3,0,3
0,13,3,0,3
0,14,3,0,waiting
0,15,3,0,1
0,16,3,1,work-3.nc
0,17,3,1,1
0,18,0,0,2
0,19,1,0,machining
0,20,1,0,1
0,21,1,0,0
0,22,1,0,available
0,19,2,0,setup
0,20,2,0,1
0,21,2,0,0
0,22,2,0,available
0,24,0,0,provisional-model-1
1000,10,1,0,machining
1000,11,1,0,1
1000,12,1,0,0
1000,14,1,0,machining
1500,10,1,0,rack
1500,11,1,0,1
1500,12,1,0,1
1500,14,1,0,interrupted_abnormally
2000,1,0,0,disconnected
2000,5,0,0,communication unavailable
3000,1,0,0,connected
3000,5,0,0,normal
